股票代码,报告日期,分类类型,主营构成,主营收入,收入比例,主营成本,成本比例,主营利润,利润比例,毛利率
601607,2022-06-30,按行业分类,分销,99156536947.52,0.887645,92127471136.4,0.952926,7029065811.12,0.467701,0.070889
601607,2022-06-30,按行业分类,工业,13049728473.61,0.116821,5363233961.78,0.055475,7686494511.83,0.511445,0.589016
601607,2022-06-30,按行业分类,零售,3530625092.45,0.031606,3093261086.1,0.031995,437364006.35,0.029101,0.123877
601607,2022-06-30,按行业分类,其他(补充),385752910.24,0.003453,193790194.32,0.002004,191962715.92,0.012773,0.497631
601607,2022-06-30,按行业分类,其他,58871626.55,0.000527,44737530.22,0.000463,14134096.33,0.00094,0.240083
601607,2022-06-30,按行业分类,抵消,-4474050722.73,-0.040051,-4144015077.73,-0.042864,-330035645.0,-0.02196,
601607,2022-06-30,按产品分类,分销,99156536947.52,0.887645,92127471136.4,0.952926,7029065811.12,0.467701,0.070889
601607,2022-06-30,按产品分类,工业,13049728473.6,0.116821,5363233961.78,0.055475,7686494511.82,0.511445,0.589016
601607,2022-06-30,按产品分类,零售,3530625092.45,0.031606,3093261086.1,0.031995,437364006.35,0.029101,0.123877
601607,2022-06-30,按产品分类,其他,559260217.39,0.005006,335700745.02,0.003472,223559472.37,0.014875,0.399741
601607,2022-06-30,按产品分类,分部间抵销,-4588686403.32,-0.041078,-4241188098.21,-0.043869,-347498305.11,-0.023122,
601607,2022-06-30,按地区分类,国内销售,109805493890.15,0.982974,95497407345.83,0.987784,14308086544.32,0.952033,0.130304
601607,2022-06-30,按地区分类,国外销售,1516217527.25,0.013573,987281290.94,0.010212,528936236.31,0.035194,0.348852
601607,2022-06-30,按地区分类,其他(补充),385752910.24,0.003453,193790194.32,0.002004,191962715.92,0.012773,0.497631
601607,2021-12-31,按行业分类,分销,190616665788.73,0.883203,178186243062.2,0.951437,12430422726.53,0.435496,0.065212
601607,2021-12-31,按行业分类,工业,25098476790.99,0.116291,10354008295.83,0.055286,14744468495.16,0.516568,0.587465
601607,2021-12-31,按行业分类,零售,7767597326.7,0.03599,6745120844.14,0.036016,1022476482.56,0.035822,0.131634
601607,2021-12-31,按行业分类,其他(补充),782662253.44,0.003626,435062313.4,0.002323,347599940.04,0.012178,0.444125
601607,2021-12-31,按行业分类,其他,241990210.72,0.001121,145630179.19,0.000778,96360031.53,0.003376,0.398198
601607,2021-12-31,按行业分类,抵消,-8683133335.27,-0.040232,-8584915410.05,-0.04584,-98217925.22,-0.003441,
601607,2021-12-31,按产品分类,分销,190616665788.73,0.883203,178186243062.2,0.951437,12430422726.53,0.435496,0.065212
601607,2021-12-31,按产品分类,工业,25098476790.99,0.116291,10354008295.83,0.055286,14744468495.16,0.516568,0.587465
601607,2021-12-31,按产品分类,零售,7767597326.7,0.03599,6745120844.14,0.036016,1022476482.56,0.035822,0.131634
601607,2021-12-31,按产品分类,其他,1310161797.44,0.006071,711998344.97,0.003802,598163452.47,0.020956,0.456557
601607,2021-12-31,按产品分类,分部间抵销,-8968642668.55,-0.041555,-8716221262.43,-0.046541,-252421406.12,-0.008844,
601607,2021-12-31,按地区分类,国内销售,212661571357.24,0.985346,185325256416.78,0.989556,27336314940.46,0.95772,0.128544
601607,2021-12-31,按地区分类,国外销售,2380025424.63,0.011028,1520830554.53,0.008121,859194870.1,0.030102,0.361002
601607,2021-12-31,按地区分类,其他(补充),782662253.44,0.003626,435062313.4,0.002323,347599940.04,0.012178,0.444125
601607,2021-06-30,按行业分类,分销,92487385777.05,0.878845,86328870929.79,0.950651,6158514847.26,0.426868,0.066588
601607,2021-06-30,按行业分类,工业,12601614547.89,0.119745,5090721766.36,0.056059,7510892781.53,0.520606,0.596026
601607,2021-06-30,按行业分类,零售,3708499971.81,0.035239,3201232343.96,0.035252,507267627.85,0.03516,0.136785
601607,2021-06-30,按行业分类,其他(补充),345369550.72,0.003282,169264360.33,0.001864,176105190.39,0.012206,0.509904
601607,2021-06-30,按行业分类,其他,228622512.16,0.002172,94911526.2,0.001045,133710985.96,0.009268,0.584855
601607,2021-06-30,按行业分类,抵消,-4134023477.66,-0.039283,-4074734584.75,-0.044871,-59288892.91,-0.00411,
